profile1,profile2,profile3,profile4,profile5,profile6,profile7,profile8,profile9,profile10,profile11,profile12,profile13,profile14,profile15,profile16,profile17,profile18,profile19,profile20,profile21,profile22,profile23,profile24,profile25
-5550,-1900,-4350,-6850,-3750,-6300,-4500,-2800,-3200,-2150,-3800,-3750,-7100,-4650,-5700,-8550,-5650,-4700,-4300,-4300,-4300,-4650,-5150,-4750,-3350
-5550,-1950,-4400,-7650,-3750,-6300,-4450,-2850,-3150,-2200,-3800,-3800,-7100,-4650,-5750,-8550,-5650,-4700,-4250,-4300,-4300,-4550,-5150,-4750,-3350
-5500,-1950,-4400,-7650,-3700,-5950,-4450,-2850,-3150,-2200,-3800,-3800,-7050,-4400,-5750,-8550,-5700,-4700,-4250,-4300,-4300,-4550,-5200,-4400,-3300
-5500,-2000,-4450,-7700,-3700,-5950,-4950,-2900,-3100,-2500,-3800,-3950,-7050,-4400,-6050,-8500,-5700,-4750,-4250,-4300,-4250,-4550,-5200,-4400,-3300
-5500,-2000,-4450,-7700,-3650,-5900,-4950,-2900,-3100,-2500,-5000,-3950,-6100,-4450,-6050,-8500,-5750,-4750,-4000,-4250,-4250,-4550,-5250,-4300,-3250
-5500,-2050,-4500,-6800,-3650,-5900,-4900,-3000,-3550,-2250,-5000,-3650,-6050,-4450,-6050,-8500,-5750,-4750,-4000,-4250,-4250,-4550,-5250,-4300,-3250
-5500,-2050,-4500,-6800,-3600,-6150,-4900,-3000,-3550,-2250,-4950,-3650,-3800,-4450,-6050,-8500,-4100,-4750,-4000,-4250,-4000,-4600,-5300,-4350,-3900
-5400,-2100,-4550,-7050,-3600,-6150,-4850,-2300,-3500,-2550,-4950,-3700,-3800,-4450,-6100,-5450,-4100,-4800,-4000,-4250,-4000,-4600,-5300,-4350,-3900
-5400,-2100,-4550,-7050,-4150,-6100,-4850,-2300,-3500,-2550,-4900,-3700,-3800,-4450,-6100,-5450,-3900,-4800,-4000,-4250,-4000,-4600,-5350,-4400,-3850
-5400,-2150,-4600,-7500,-4150,-6100,-4800,-2350,-3450,-3300,-4900,-4100,-3800,-4450,-6150,-5500,-3900,-4800,-4000,-4250,-4050,-4350,-5350,-4400,-3850
-5400,-2150,-4600,-7500,-3900,-6050,-4800,-2350,-3450,-3300,-4900,-4100,-3800,-2550,-6150,-5500,-5500,-4800,-4000,-4250,-4050,-4350,-4700,-4450,-3800
-5400,-1400,-4650,-7000,-3900,-6050,-4750,-2400,-3650,-3350,-3950,-1400,-3800,-2550,-5450,-4600,-5500,-4850,-4050,-4000,-4050,-4350,-4700,-4450,-3800
-5450,-1400,-4650,-7000,-4000,-6500,-4750,-2400,-3650,-3350,-3950,-1400,-3800,-2900,-5450,-4600,-3950,-4850,-4050,-4000,-4100,-4400,-4750,-4500,-3750
-5450,-1400,-5000,-6750,-4000,-6500,-4700,-2450,-3600,-3500,-3950,-1350,-3800,-2900,-5500,-4650,-3950,-4850,-4050,-4000,-4100,-4400,-4750,-4500,-3750
-5450,-1400,-5000,-6750,-3850,-2900,-4700,-2450,-3600,-3500,-3950,-1350,-3750,-2850,-5500,-4650,-4000,-4850,-4050,-4050,-4100,-4400,-4800,-4000,-3700
